para_id,row,sentence
0,0,[CLS]    8月
0,0,  8月22日，
0,0,22日，据
0,0,，据央视新闻报道，
0,0,报道，总台
0,0,，总台记者目击，
0,0,目击，天津市
0,0,，天津市位于南开区[SEP]
0,1,[CLS]南京路与万德庄南北街交口处的一栋大厦发生火情，
0,1,火情，目前
0,1,，目前从大楼的一[SEP]
0,2,[CLS]侧外立面到顶楼均可见明火，
0,2,明火，消防
0,2,，消防部门正在全力进行灭火工作。[SEP]
0,2,工作。[SEP]
0,2,。[SEP]
0,3,[CLS]    据
0,3,  据现场视频显示，
0,3,显示，整个
0,3,，整个大楼一侧有较严重的明火燃烧，
0,3,燃烧，现场
0,3,，现场黑烟[SEP]
0,4,[CLS]滚滚，
0,4,滚滚，路上
0,4,，路上停有多辆消防救援车辆。[SEP]
0,4,车辆。[SEP]
0,4,。[SEP]
0,5,[CLS]    工作人员
0,5,  工作人员表示如果有新进展会通过公众号及时发布通报。[SEP]
0,5,通报。[SEP]
0,5,。[SEP]
1,0,[CLS]【知乎
1,0,[CLS]【知乎】
1,0,知乎】董明珠
1,0,】董明珠称「
1,0,称「不
1,0,「不招只想要多少工资的，
1,0,的，希望
1,0,，希望年轻人知道自己能[SEP]
1,1,[CLS]干什么」
1,1,什么」，你
1,1,，你怎么看待这一言论？[SEP]
1,1,言论？[SEP]
1,1,？[SEP]
1,2,[CLS]【知乎
1,2,[CLS]【知乎】
1,2,知乎】特朗普
1,2,】特朗普称将于24日自首，
1,2,自首，这
1,2,，这对其政治生涯意味着什么？
1,2,什么？对
1,2,？对美[SEP]
1,3,[CLS]政坛有何影响？[SEP]
1,3,影响？[SEP]
1,3,？[SEP]
1,4,[CLS]【知乎
1,4,[CLS]【知乎】
1,4,知乎】中国
1,4,】中国房地产报呼吁允许开发商以降价促销的方式展开自救，[SEP]
1,4,自救，[SEP]
1,4,，[SEP]
1,5,[CLS]对此如何解读？[SEP]
1,5,解读？[SEP]
1,5,？[SEP]
2,0,[CLS]【树洞
2,0,[CLS]【树洞】
2,0,树洞】今天
2,0,】今天北京天气好好，
2,0,好好，去
2,0,，去买咖啡店员说帮我用张券只花了六块[SEP]
2,1,[CLS]钱，
2,1,钱，没有
2,1,，没有对象的七夕也可以很开心。[SEP]
2,1,开心。[SEP]
2,1,。[SEP]
2,2,[CLS]【树洞
2,2,[CLS]【树洞】
2,2,树洞】我
2,2,】我也不知道为什么，
2,2,为什么，好像
2,2,，好像特别招东北人喜欢，
2,2,喜欢，前
2,2,，前男友是东北[SEP]
2,3,[CLS]的，
2,3,的，还有
2,3,，还有好几个东北的说喜欢我。[SEP]
2,3,我。[SEP]
2,3,。[SEP]
2,4,[CLS]【树洞
2,4,[CLS]【树洞】
2,4,树洞】感觉
2,4,】感觉学校里男生有对象的群体总体颜值并不比无恋爱经历的[SEP]
2,5,[CLS]男生颜值高很多，
2,5,很多，长相
2,5,，长相一般的男生都是怎么找到的啊。[SEP]
2,5,啊。[SEP]
2,5,。[SEP]
3,0,[CLS]    日本
3,0,  日本全国渔业协会联合会会长坂本雅信21日重申，
3,0,重申，反对
3,0,，反对在未获得[SEP]
3,1,[CLS]国民理解的情况下将福岛核污染水排海，
3,1,海，这一
3,1,，这一点毫无改变。[SEP]
3,1,改变。[SEP]
